Wavelength,Intensity
5172.9,4.56E-14
5175.65,4.65E-14
5178.4,4.61E-14
5181.15,4.66E-14
5183.9,4.63E-14
5186.65,4.62E-14
5189.4,4.58E-14
5192.15,4.72E-14
5194.9,4.54E-14
5197.65,4.53E-14
5200.4,4.69E-14
5203.15,4.71E-14
5205.9,4.64E-14
5208.65,4.59E-14
5211.4,4.69E-14
5214.15,4.67E-14
5216.9,4.61E-14
5219.65,4.66E-14
5222.4,4.74E-14
5225.15,4.65E-14
5227.9,4.55E-14
5230.65,4.55E-14
5233.4,4.55E-14
5236.15,4.61E-14
5238.9,4.70E-14
5241.65,4.67E-14
5244.4,4.65E-14
5247.15,4.65E-14
5249.9,4.57E-14
5252.65,4.37E-14
5255.4,4.27E-14
5258.15,4.60E-14
5260.9,4.47E-14
5263.65,4.60E-14
5266.4,4.67E-14
5269.15,4.56E-14
5271.9,4.52E-14
5274.65,4.58E-14
5277.4,4.70E-14
5280.15,4.74E-14
5282.9,4.85E-14
5285.65,4.79E-14
5288.4,4.84E-14
5291.15,4.75E-14
5293.9,4.46E-14
5296.65,4.60E-14
5299.4,4.64E-14
5302.15,4.76E-14
5304.9,4.65E-14
5307.65,4.64E-14
5310.4,4.60E-14
5313.15,4.68E-14
5315.9,4.71E-14
5318.65,4.68E-14
5321.4,4.76E-14
5324.15,4.81E-14
5326.9,4.84E-14
5329.65,4.88E-14
5332.4,4.78E-14
5335.15,4.74E-14
5337.9,4.74E-14
5340.65,4.57E-14
5343.4,4.68E-14
5346.15,4.74E-14
5348.9,4.61E-14
5351.65,4.60E-14
5354.4,4.67E-14
5357.15,4.65E-14
5359.9,4.79E-14
5362.65,4.88E-14
5365.4,4.84E-14
5368.15,4.78E-14
5370.9,4.91E-14
5373.65,4.88E-14
5376.4,4.95E-14
5379.15,4.99E-14
5381.9,4.97E-14
5384.65,4.92E-14
5387.4,4.86E-14
5390.15,4.94E-14
5392.9,5.06E-14
5395.65,5.19E-14
5398.4,5.14E-14
5401.15,4.97E-14
5403.9,4.98E-14
5406.65,4.88E-14
5409.4,4.85E-14
5412.15,4.75E-14
5414.9,4.71E-14
5417.65,4.78E-14
5420.4,4.79E-14
5423.15,4.68E-14
5425.9,4.65E-14
5428.65,4.69E-14
5431.4,4.87E-14
5434.15,4.80E-14
5436.9,4.80E-14
5439.65,4.88E-14
5442.4,4.95E-14
5445.15,4.95E-14
5447.9,4.82E-14
5450.65,4.73E-14
5453.4,4.78E-14
5456.15,4.73E-14
5458.9,4.68E-14
5461.65,4.58E-14
5464.4,4.72E-14
5467.15,4.87E-14
5469.9,4.89E-14
5472.65,4.89E-14
5475.4,4.74E-14
5478.15,4.74E-14
5480.9,4.72E-14
5483.65,4.50E-14
5486.4,4.48E-14
5489.15,4.52E-14
5491.9,4.45E-14
