wavelength,intensity
5709.8,22128
5712.05,21862.67
5714.3,21680.44
5716.55,21586.42
5718.8,21533.09
5721.05,21384.46
5723.3,21154.98
5725.55,20977.01
5727.81,20932.8
5730.06,20786.02
5732.31,20624.14
5734.56,20596.79
5736.81,20546.66
5739.06,20409.38
5741.31,20419.46
5743.56,19822.57
5745.81,18205.04
5748.06,18494.62
5750.31,18386.51
5752.56,18299.5
5754.81,18633.5
5757.06,19014.21
5759.31,19370.56
5761.56,19493.31
5763.82,19566.31
5766.07,19708.72
5768.32,19835.57
5770.57,19988.88
5772.82,20279
5775.07,20539.9
5777.32,20810.47
5779.57,21190.04
5781.82,21525.75
5784.07,21843.67
5786.32,22160.51
5788.57,22471.78
5790.82,22861.15
5793.07,23165.41
5795.32,23328.82
5797.57,23370.71
5799.83,23207.36
5802.08,22820.84
5804.33,22436.45
5806.58,22192.4
5808.83,21733.41
5811.08,21297.83
5813.33,21078.07
5815.58,20935.94
5817.83,20675.64
5820.08,20408.36
5822.33,20185.91
5824.58,19959.14
5826.83,19833.52
5829.08,19697.96
5831.33,19505.34
5833.58,19357.28
5835.84,19271.88
5838.09,19137.81
5840.34,18938.63
5842.59,18793.99
5844.84,18740.94
5847.09,18658.88
5849.34,18513.51
5851.59,18417.41
5853.84,18309.53
5856.09,18217.63
5858.34,18157.28
5860.59,18071.29
5862.84,17973.97
5865.09,17943.9
5867.34,17936.86
5869.59,17795.02
5871.84,17735.3
5874.1,17692.68
5876.35,17590.91
5878.6,17600.27
5880.85,17625.12
5883.1,17517.91
5885.35,17311.77
5887.6,17228.83
5889.85,17139.93
5892.1,17052.51
5894.35,17073.76
5896.6,17137.38
5898.85,17204.31
5901.1,17240.64
5903.35,17229.29
5905.6,17127.77
5907.85,17105.84
5910.11,17157.65
5912.36,17151.24
5914.61,17258.54
5916.86,17304.79
5919.11,17198.59
5921.36,17101.85
5923.61,17160.78
5925.86,17170.99
5928.11,17104.3
5930.36,17193.43
5932.61,17235.57
5934.86,17223.47
5937.11,17218.45
5939.36,17207.03
5941.61,17185.08
5943.86,17222.88
5946.12,17334.82
5948.37,17395.24
5950.62,17468.09
5952.87,17513.17
5955.12,17520.96
5957.37,17627.38
5959.62,17722.41
5961.87,17854.58
5964.12,18038.45
5966.37,18091.41
5968.62,18250.1
5970.87,18438.37
5973.12,18494.46
5975.37,18657.44
5977.62,18785.89
5979.87,18837.97
5982.13,18904.33
5984.38,18906.1
5986.63,18925.47
5988.88,18923.86
5991.13,18840.64
5993.38,18936.21
5995.63,18931.75
5997.88,18746.1
6000.13,18689.03
6002.38,18709.44
6004.63,18691.72
6006.88,18612.75
6009.13,18519.56
6011.38,18449.65
6013.63,18370.24
6015.88,18287.97
6018.14,18244.94
6020.39,18162.51
6022.64,18021.34
6024.89,17886.25
6027.14,17849.53
6029.39,17839.5
6031.64,17839.79
6033.89,17830.97
6036.14,17741.73
6038.39,17686.82
6040.64,17665.53
6042.89,17627.83
